feature,mean_abs_shap
target_speed,0.8164109217120146
speed_t,0.7260797222479438
vehicle_type_ICE,0.5109004768872647
vehicle_type_EV,0.15673050682564488
vehicle_type_HEV,0.10910263096335673
dist_tls_t,0.059237983435521814
tls_color_t,0.043539337457955817
action,0.04088538721039801
time_loss_t,0.027728676907157922
leader_gap_t,0.02669446363236339
source_policy_DDPG,0.024547654334963327
source_policy_DDQN,0.023827399468900595
acceleration_t,0.021802642334969778
leader_speed_t,0.021295891764061672
source_policy_DQN,0.02097697432944575
is_stopped_t,0.019769198779372485
waiting_time_t,0.017927411738602107
