feature,mean_abs_shap
target_speed,0.5206492608565185
time_loss_t,0.03959863902655746
acceleration_t,0.036870507829602064
speed_t,0.03595505913546507
is_stopped_t,0.032390112794047674
action,0.03193981268633319
tls_color_t,0.02935938503998733
vehicle_type_ICE,0.028782480492276746
source_policy_DDPG,0.027218703077437838
dist_tls_t,0.026775482822618754
waiting_time_t,0.025276896898654696
vehicle_type_EV,0.023074427838126427
leader_gap_t,0.021981372792691675
leader_speed_t,0.01928702646530135
source_policy_DDQN,0.016396515236519926
vehicle_type_HEV,0.016252111336700906
source_policy_DQN,0.015293743308421483
