feature,mean_abs_shap
time_loss_t,0.7907381932940358
target_speed,0.03998199031141347
vehicle_type_ICE,0.03141787584417466
speed_t,0.028838136387639525
dist_tls_t,0.019631117340979262
vehicle_type_HEV,0.017083219835799635
source_policy_DDQN,0.01603735007322379
vehicle_type_EV,0.015581182483679108
leader_speed_t,0.011457378708862315
source_policy_DQN,0.010462820089492559
source_policy_DDPG,0.009109511372036083
tls_color_t,0.008746040469057912
acceleration_t,0.006149299705726544
leader_gap_t,0.0059497123307991635
action,0.005681050366543417
is_stopped_t,0.005389714190358673
waiting_time_t,0.004638048722804441
