feature,mean_abs_shap
tls_color_t,0.05048627697036297
speed_t,0.04594247769532677
is_stopped_t,0.04575527264753901
acceleration_t,0.04188093472644962
dist_tls_t,0.0283682757929182
source_policy_DDPG,0.0249227302036236
vehicle_type_HEV,0.01828029323119177
action,0.017144055443885246
vehicle_type_ICE,0.017111720367381112
vehicle_type_EV,0.01695476075810195
time_loss_t,0.01583566862929272
source_policy_DQN,0.01583310153177929
target_speed,0.01543819565658319
waiting_time_t,0.015205927515501547
leader_speed_t,0.013629452976377686
source_policy_DDQN,0.01327947898292174
leader_gap_t,0.010887884626602727
