feature,mean_abs_shap
tls_color_t,0.7137367032288574
dist_tls_t,0.0465484572933995
speed_t,0.033728996996075455
target_speed,0.027526111113738976
acceleration_t,0.022057795186460668
source_policy_DDPG,0.02054882984898592
vehicle_type_ICE,0.019323731014013204
action,0.019010038800165364
time_loss_t,0.018387879594609243
leader_gap_t,0.01730984377866569
vehicle_type_HEV,0.016702098009983787
leader_speed_t,0.016566768807720934
vehicle_type_EV,0.014724022039261302
source_policy_DDQN,0.011615308998615372
is_stopped_t,0.01095428037792289
source_policy_DQN,0.010427570943426771
waiting_time_t,0.009136024842484484
