feature,mean_abs_shap
dist_tls_t,0.7783763008085705
speed_t,0.08657293396174884
time_loss_t,0.07975760999966865
vehicle_type_EV,0.044031945793385235
target_speed,0.043352789121082765
source_policy_DQN,0.03689773612792353
source_policy_DDPG,0.036131596799361385
tls_color_t,0.03470175546764471
source_policy_DDQN,0.03463001378239636
vehicle_type_HEV,0.030632139699568767
vehicle_type_ICE,0.027584852783906204
is_stopped_t,0.02045469453199347
leader_speed_t,0.017968421611223678
waiting_time_t,0.01727971340987151
leader_gap_t,0.010106483637384646
acceleration_t,0.006011609592610851
action,0.0035923747607039484
