feature,mean_abs_shap
leader_gap_t,0.2685579763086368
target_speed,0.03972630101505747
dist_tls_t,0.03318108677232738
vehicle_type_ICE,0.032389456932925
speed_t,0.02969621963099053
time_loss_t,0.02939180493889379
leader_speed_t,0.02759844195461139
acceleration_t,0.024149749734263412
is_stopped_t,0.02195293964943303
tls_color_t,0.021398796885180014
source_policy_DDPG,0.019026503273257785
source_policy_DQN,0.01898716918591947
vehicle_type_HEV,0.018954910757239988
waiting_time_t,0.018341606506706676
action,0.015149423717832986
vehicle_type_EV,0.01479889088653507
source_policy_DDQN,0.013727386404353545
