feature,mean_abs_shap
tls_color_t,0.07194192222178834
speed_t,0.061198724108194866
dist_tls_t,0.044695888093259625
is_stopped_t,0.026225203385405606
time_loss_t,0.025197828665625695
acceleration_t,0.01794704680640795
vehicle_type_HEV,0.017204580776621646
vehicle_type_ICE,0.015606311530965526
source_policy_DDQN,0.014725862955846283
action,0.012881704932402158
source_policy_DQN,0.011771005456832271
leader_gap_t,0.010823791858587554
target_speed,0.010640421304909244
source_policy_DDPG,0.00891519307401358
vehicle_type_EV,0.008820250687672384
leader_speed_t,0.008008420661510146
waiting_time_t,0.006504861334894225
