feature,mean_abs_shap
speed_t,0.1941060685617684
target_speed,0.15079799373240493
dist_tls_t,0.07712190040328368
time_loss_t,0.061492847853766915
vehicle_type_ICE,0.044755023923107526
leader_speed_t,0.029283843622628408
source_policy_DDPG,0.02210868749677684
tls_color_t,0.019168652191713435
acceleration_t,0.01681571414388464
vehicle_type_EV,0.016782418689129212
action,0.01318827178577121
source_policy_DDQN,0.012985842851328542
vehicle_type_HEV,0.011164852615232281
source_policy_DQN,0.010791940382919491
waiting_time_t,0.010050043331954939
leader_gap_t,0.00936739873516418
is_stopped_t,0.00833156093312761
