feature,mean_abs_shap
tls_color_t,0.7178347509807567
vehicle_type_HEV,0.026805797766189653
target_speed,0.026772773024529947
time_loss_t,0.025330691768158466
speed_t,0.02381709986597914
source_policy_DDQN,0.023603626010332814
dist_tls_t,0.021189712189593642
leader_speed_t,0.02042210435262745
acceleration_t,0.019252627233185833
is_stopped_t,0.01809926628671959
source_policy_DDPG,0.018022106127872715
waiting_time_t,0.01533903102311942
vehicle_type_EV,0.015142965554274737
action,0.01479517664686242
vehicle_type_ICE,0.0116325542921984
source_policy_DQN,0.009289062977493774
leader_gap_t,0.009069357833219138
