feature,mean_abs_shap
target_speed,0.44671641401041334
speed_t,0.3742434981738127
action,0.09943744586043099
time_loss_t,0.06292661163185029
acceleration_t,0.05585986644729883
vehicle_type_EV,0.05401374974270407
vehicle_type_ICE,0.053478930880465195
vehicle_type_HEV,0.04826231454820104
source_policy_DDPG,0.04401073594519131
leader_speed_t,0.038338250808085846
waiting_time_t,0.03768892719084351
tls_color_t,0.03721257252281224
source_policy_DQN,0.035987695269194715
dist_tls_t,0.03523645834661112
source_policy_DDQN,0.03000225952610964
is_stopped_t,0.01987279903969459
leader_gap_t,0.018385771768570206
