feature,mean_abs_shap
leader_gap_t,0.31757321837044505
tls_color_t,0.03550726360079201
target_speed,0.029501408605633363
action,0.023185266698588444
dist_tls_t,0.022586150481141428
leader_speed_t,0.020869425359483974
vehicle_type_ICE,0.018459850551262588
vehicle_type_EV,0.017988825600284867
vehicle_type_HEV,0.016797272675784958
source_policy_DDQN,0.016520161005436986
source_policy_DQN,0.016051293981354485
waiting_time_t,0.014654560451085734
time_loss_t,0.014472044578013123
source_policy_DDPG,0.014341903161692886
speed_t,0.013415412762247857
acceleration_t,0.01335277191424749
is_stopped_t,0.01079801821139651
