feature,mean_abs_shap
leader_speed_t,0.43355547269253647
leader_gap_t,0.05008078560460515
dist_tls_t,0.03904253917316313
target_speed,0.03612677715725452
tls_color_t,0.026489708572222093
speed_t,0.024902588602374744
source_policy_DDPG,0.023742738105500635
time_loss_t,0.023153325244308486
source_policy_DDQN,0.02257473988398287
source_policy_DQN,0.020174012286903912
acceleration_t,0.018039044649301637
vehicle_type_EV,0.016001561573909057
vehicle_type_ICE,0.014995602002549404
vehicle_type_HEV,0.014844318483028689
waiting_time_t,0.014187436787646428
action,0.014147075251073131
is_stopped_t,0.00992081583996109
