feature,mean_abs_shap
dist_tls_t,0.4520104016585528
target_speed,0.050706539900681656
tls_color_t,0.04884012300486683
action,0.04544308340946692
time_loss_t,0.044442105675639484
source_policy_DDQN,0.043173852289926734
vehicle_type_HEV,0.04224311443282668
vehicle_type_ICE,0.03778519268668758
leader_speed_t,0.03468292594810188
acceleration_t,0.034539164960271436
is_stopped_t,0.031542180500739064
speed_t,0.03081976874305183
source_policy_DQN,0.02903325207648485
vehicle_type_EV,0.026492308459081702
leader_gap_t,0.02566573737910863
source_policy_DDPG,0.024951640203132074
waiting_time_t,0.02202923808653949
