feature,mean_abs_shap
leader_speed_t,0.6807863013949514
leader_gap_t,0.05900119462775688
time_loss_t,0.05163133573212497
speed_t,0.04133826921732216
target_speed,0.039194602839393224
dist_tls_t,0.03810063451489209
vehicle_type_ICE,0.035100341147019654
tls_color_t,0.024566962197532783
source_policy_DDQN,0.017612214085389436
action,0.013529644858053344
vehicle_type_EV,0.012934595291101697
source_policy_DDPG,0.012884833499460062
source_policy_DQN,0.012781327456336682
vehicle_type_HEV,0.008089419941053022
acceleration_t,0.008042537490933192
is_stopped_t,0.007506799016328268
waiting_time_t,0.00557806392324768
