feature,mean_abs_shap
is_stopped_t,0.09422243727139397
waiting_time_t,0.0613413549955122
tls_color_t,0.04423690591345998
speed_t,0.03679692690545287
dist_tls_t,0.028675160750775627
target_speed,0.028005033739618282
leader_speed_t,0.022430329254424123
time_loss_t,0.01286889372558782
vehicle_type_ICE,0.008017357444931015
vehicle_type_HEV,0.0069836767566561885
vehicle_type_EV,0.005591461285805525
leader_gap_t,0.004855329948774142
source_policy_DDQN,0.0047618915488664435
action,0.004155697089150755
acceleration_t,0.0036588107657473086
source_policy_DQN,0.003624048695110415
source_policy_DDPG,0.002731377816690745
