feature,mean_abs_shap
is_stopped_t,0.13802749289311658
speed_t,0.1169929454823558
dist_tls_t,0.07322943610376303
tls_color_t,0.0469241923779777
target_speed,0.03387581012929667
time_loss_t,0.021106143661412953
acceleration_t,0.019798308877006048
source_policy_DQN,0.015121465713738761
leader_speed_t,0.014957682429373544
source_policy_DDQN,0.014432401773378366
leader_gap_t,0.012337624963325779
waiting_time_t,0.011519593143596643
action,0.0103609239692268
vehicle_type_ICE,0.010206825533245291
vehicle_type_HEV,0.008723684796171938
source_policy_DDPG,0.007173164850206686
vehicle_type_EV,0.006464307412427419
