feature,mean_abs_shap
time_loss_t,0.7468065525676809
speed_t,0.04592493907135846
vehicle_type_ICE,0.03524121460413857
target_speed,0.03250922093553155
vehicle_type_EV,0.02253793901064524
vehicle_type_HEV,0.018021472188828803
leader_speed_t,0.009388038816799291
dist_tls_t,0.007578642089530844
leader_gap_t,0.007297555888158691
acceleration_t,0.00679230472999083
source_policy_DQN,0.005603058196929257
source_policy_DDQN,0.0052296132522707175
source_policy_DDPG,0.00486002663622586
action,0.00481966389257669
tls_color_t,0.00464088429138635
is_stopped_t,0.0033910902666378223
waiting_time_t,0.002546224777173827
