feature,mean_abs_shap
speed_t,0.12257966356253037
target_speed,0.12230782233262245
is_stopped_t,0.11659867393570326
dist_tls_t,0.0537654249325109
tls_color_t,0.044705359246438245
time_loss_t,0.018453043605238653
leader_speed_t,0.017818060263592866
acceleration_t,0.016678701062869967
waiting_time_t,0.016598135818581453
leader_gap_t,0.011353763434243184
source_policy_DDQN,0.009172107964342058
vehicle_type_HEV,0.008824324593833213
source_policy_DQN,0.008821363910162094
vehicle_type_EV,0.007635101282839638
vehicle_type_ICE,0.007573475878435238
action,0.0059975743088402575
source_policy_DDPG,0.004928923594840491
