feature,mean_abs_shap
dist_tls_t,0.5708858290793881
target_speed,0.0385975874150897
speed_t,0.03464140196762387
tls_color_t,0.03460259709231393
leader_speed_t,0.031535022935866394
time_loss_t,0.029400105659761557
source_policy_DDPG,0.024612957465284416
acceleration_t,0.023684647764966146
vehicle_type_ICE,0.02365437190787808
action,0.022158813433674308
vehicle_type_EV,0.02163784281384791
source_policy_DDQN,0.02020571885096854
source_policy_DQN,0.019817321706933767
leader_gap_t,0.018980820094697336
vehicle_type_HEV,0.018963618508512116
is_stopped_t,0.0178686411286832
waiting_time_t,0.012411697735142845
