feature,mean_abs_shap
tls_color_t,0.6819618699059021
speed_t,0.08542062821246181
time_loss_t,0.0833549973740353
dist_tls_t,0.06205229990630839
target_speed,0.05386972237123014
leader_speed_t,0.04082134419343371
leader_gap_t,0.036480111897580096
vehicle_type_ICE,0.03024656044451424
waiting_time_t,0.027529678235854366
vehicle_type_EV,0.02268226221519938
is_stopped_t,0.02020398985045781
vehicle_type_HEV,0.018825031628725303
acceleration_t,0.018015033392955657
action,0.014459609994639766
source_policy_DDQN,0.01202805905236643
source_policy_DQN,0.01171302618370735
source_policy_DDPG,0.009884637263092673
