feature,mean_abs_shap
target_speed,0.47294118884001607
speed_t,0.07883781530290966
acceleration_t,0.05065378859881235
action,0.0367184991018892
is_stopped_t,0.03311703277630435
source_policy_DDPG,0.027676427209975155
dist_tls_t,0.02629170763370723
time_loss_t,0.024823602006683432
source_policy_DDQN,0.0246667936827021
vehicle_type_ICE,0.0235446945178481
leader_gap_t,0.023168243583732484
leader_speed_t,0.021721872698439205
source_policy_DQN,0.019350869266294046
vehicle_type_EV,0.01926982838853377
tls_color_t,0.017963671212562836
waiting_time_t,0.016326383970510342
vehicle_type_HEV,0.014630434819516178
