feature,mean_abs_shap
leader_gap_t,0.5576567064112059
speed_t,0.1502540634260825
target_speed,0.14983634203157192
time_loss_t,0.082218216431483
dist_tls_t,0.035135100952163566
source_policy_DDQN,0.034699448087613265
source_policy_DQN,0.02918210723230932
source_policy_DDPG,0.027694732692807006
vehicle_type_ICE,0.026133601125139787
leader_speed_t,0.024533793946133517
tls_color_t,0.021667619277968606
vehicle_type_EV,0.018123389274558463
vehicle_type_HEV,0.014646397441020162
acceleration_t,0.011546261218977871
action,0.008642893674177754
is_stopped_t,0.006136285151168073
waiting_time_t,0.005545555493416449
