feature,mean_abs_shap_all_targets
target_speed,0.4099357999861027
speed_t,0.3775322981060782
dist_tls_t,0.11780992421659622
time_loss_t,0.11209130735764848
tls_color_t,0.09175638984197343
leader_speed_t,0.08983899217795978
leader_gap_t,0.07272077809440089
vehicle_type_ICE,0.0675857984078368
is_stopped_t,0.0380176495497697
vehicle_type_EV,0.02881798687050051
source_policy_DDQN,0.02158028324499694
vehicle_type_HEV,0.02143713952319734
waiting_time_t,0.020681137079698302
action,0.020437745253946517
source_policy_DQN,0.018043595455631355
source_policy_DDPG,0.01789615625514625
acceleration_t,0.012679519738142181
