feature,mean_abs_shap
time_loss_t,0.4392058598537227
dist_tls_t,0.04889849486253718
target_speed,0.04038711490036514
speed_t,0.026756865559395965
vehicle_type_ICE,0.02589711258105993
vehicle_type_HEV,0.02285873764516847
tls_color_t,0.021981954967281683
source_policy_DQN,0.021544687450183703
acceleration_t,0.021095979439930863
leader_speed_t,0.019612928468520755
source_policy_DDQN,0.019067555512336427
action,0.01831799812634026
vehicle_type_EV,0.01763507284483946
waiting_time_t,0.017584059375746496
source_policy_DDPG,0.01617741738712663
leader_gap_t,0.013775558785889444
is_stopped_t,0.012762104384763173
