feature,mean_abs_shap
speed_t,2.6293333329219797
target_speed,2.451083042199459
dist_tls_t,0.09482345233715228
action,0.08769879270892514
leader_gap_t,0.08312249019612322
leader_speed_t,0.04129484163319508
source_policy_DDPG,0.03857669151257228
source_policy_DDQN,0.03473187254236656
tls_color_t,0.03388423897564311
time_loss_t,0.03352012180509469
source_policy_DQN,0.03296226308943635
is_stopped_t,0.031732485868954996
acceleration_t,0.027057393064959995
vehicle_type_ICE,0.025407361949600447
waiting_time_t,0.02494638099330679
vehicle_type_EV,0.021232870360898114
vehicle_type_HEV,0.015604343034011054
