feature,mean_abs_shap
dist_tls_t,0.048880906995495535
target_speed,0.03643060707412421
tls_color_t,0.02458136335900539
leader_speed_t,0.023112981786296984
action,0.02304431147708861
source_policy_DDPG,0.02280755081648105
leader_gap_t,0.02210942294471723
speed_t,0.019789961664322477
time_loss_t,0.016005365250719585
source_policy_DDQN,0.0157842596445001
source_policy_DQN,0.014851089230171954
acceleration_t,0.014138772678148497
vehicle_type_ICE,0.013313043979764523
is_stopped_t,0.013267414433358566
vehicle_type_HEV,0.012839863408682322
waiting_time_t,0.011500643648845404
vehicle_type_EV,0.009943733565313253
