feature,mean_abs_shap
speed_t,0.6953252172625325
target_speed,0.6796627630833779
vehicle_type_ICE,0.41720070077552446
vehicle_type_EV,0.17605174148829053
vehicle_type_HEV,0.12911098250622877
time_loss_t,0.05777510108034222
action,0.040102239872554866
dist_tls_t,0.03759221724443371
leader_speed_t,0.03492743942070431
tls_color_t,0.03362175359684544
source_policy_DDPG,0.018305903417181222
acceleration_t,0.016479637749468413
leader_gap_t,0.016428458236712632
source_policy_DQN,0.01413439183417326
is_stopped_t,0.013019975471073792
source_policy_DDQN,0.012995725285584247
waiting_time_t,0.012071518432229488
