feature,mean_abs_shap
speed_t,0.3899037215169171
target_speed,0.24554054391337835
vehicle_type_ICE,0.07957587717622587
time_loss_t,0.055600030303720446
vehicle_type_EV,0.05022953706761509
source_policy_DDQN,0.049098155329369446
action,0.0471797018465294
leader_gap_t,0.04680660034544634
tls_color_t,0.04585727472886053
leader_speed_t,0.04489119842507068
vehicle_type_HEV,0.04367754229608425
source_policy_DQN,0.04319489824421059
acceleration_t,0.04310947718301641
waiting_time_t,0.03861676811785563
is_stopped_t,0.036763975754366726
dist_tls_t,0.03675562612339233
source_policy_DDPG,0.03196747039777184
