feature,mean_abs_shap
time_loss_t,0.1528749428234908
target_speed,0.0780215230415231
speed_t,0.060158425667974795
vehicle_type_ICE,0.057476229053865194
dist_tls_t,0.048488964217850844
leader_speed_t,0.032762766288534965
vehicle_type_EV,0.032667366648553284
vehicle_type_HEV,0.02571767132222257
source_policy_DDPG,0.020093636146443716
tls_color_t,0.016219176235163443
acceleration_t,0.014244271762843905
action,0.013757748317553383
source_policy_DDQN,0.00861717391214507
leader_gap_t,0.007296666563787752
source_policy_DQN,0.006813531314233737
waiting_time_t,0.005990561879053742
is_stopped_t,0.0051577797624073
