feature,mean_abs_shap
time_loss_t,0.3453284013083573
speed_t,0.047814673331012136
leader_speed_t,0.03795351884943909
dist_tls_t,0.034224376543413315
source_policy_DDPG,0.03144304093152645
vehicle_type_EV,0.029109816651682517
vehicle_type_ICE,0.02789204980497187
source_policy_DQN,0.027167355934772323
acceleration_t,0.026790794124878184
is_stopped_t,0.025616537982306595
waiting_time_t,0.023315408892415013
leader_gap_t,0.022942131925850887
vehicle_type_HEV,0.02272445016714351
tls_color_t,0.02242850415171739
source_policy_DDQN,0.022126478455293645
target_speed,0.021559528358187065
action,0.019926283895458745
