feature,mean_abs_shap
speed_t,2.7015677631403303
target_speed,2.4882669610330264
action,0.13353255345769136
leader_gap_t,0.058112945443110825
dist_tls_t,0.053062098607201354
leader_speed_t,0.05259056821000757
vehicle_type_EV,0.051748792949958385
tls_color_t,0.04027572911623441
vehicle_type_HEV,0.02784993629276211
is_stopped_t,0.02346376611923232
source_policy_DDPG,0.022545362234233046
source_policy_DDQN,0.02094483355931729
source_policy_DQN,0.018736419217116572
time_loss_t,0.018061647588461047
waiting_time_t,0.017227651321892044
acceleration_t,0.015262265727441117
vehicle_type_ICE,0.013173386956536774
