feature,mean_abs_shap
tls_color_t,0.7282933711801531
time_loss_t,0.07692677601433578
dist_tls_t,0.06883712722907255
speed_t,0.0605525005276632
target_speed,0.04100183226469298
leader_speed_t,0.03559723070650025
waiting_time_t,0.03003367857405034
leader_gap_t,0.022621026190973618
vehicle_type_EV,0.02099752599675524
is_stopped_t,0.01941161570878565
vehicle_type_ICE,0.017166103771017637
vehicle_type_HEV,0.016923992712748342
source_policy_DDPG,0.014131209413046585
source_policy_DDQN,0.012901660025230901
source_policy_DQN,0.009326877921886058
action,0.00892194098515918
acceleration_t,0.007862586989297487
