feature,mean_abs_shap
target_speed,0.7564979001922206
speed_t,0.09152919758248378
is_stopped_t,0.039722945154493434
dist_tls_t,0.032748895997649165
action,0.025863955581579234
leader_gap_t,0.025122923750492757
source_policy_DDQN,0.021381735811323268
source_policy_DQN,0.020232151719567704
vehicle_type_ICE,0.017408965633093857
leader_speed_t,0.013319522812905089
tls_color_t,0.011376222445957533
source_policy_DDPG,0.010478955083758297
waiting_time_t,0.010225673144230969
vehicle_type_EV,0.010197133296808499
time_loss_t,0.009860261941736443
acceleration_t,0.008628138978816294
vehicle_type_HEV,0.007250493644353326
