feature,mean_abs_shap
speed_t,0.7460708817150299
target_speed,0.5791751213462983
action,0.07720608849734627
time_loss_t,0.03267656513000539
leader_gap_t,0.03031913828496263
tls_color_t,0.03018573485333258
dist_tls_t,0.02628546300868881
acceleration_t,0.026210079794138565
source_policy_DDQN,0.023295054344628228
vehicle_type_ICE,0.02312332282752286
leader_speed_t,0.0223781009194749
is_stopped_t,0.02119888113509119
source_policy_DDPG,0.019581442401542824
source_policy_DQN,0.019455625939781764
vehicle_type_HEV,0.018883801209040325
waiting_time_t,0.017457304294821573
vehicle_type_EV,0.016308524129171872
