feature,mean_abs_shap
tls_color_t,0.08217324185270973
is_stopped_t,0.06489840795184712
waiting_time_t,0.05758195164296946
speed_t,0.05488686459790429
source_policy_DDPG,0.030691988905664665
source_policy_DDQN,0.026414380693113238
dist_tls_t,0.025385680018372422
vehicle_type_EV,0.023607076646609396
vehicle_type_ICE,0.021967496866759632
source_policy_DQN,0.02111092667207299
vehicle_type_HEV,0.020818039871115322
time_loss_t,0.019298265004199903
action,0.01929255656260608
target_speed,0.0183183516221271
leader_speed_t,0.015569472921123997
acceleration_t,0.0152246070570352
leader_gap_t,0.008766218701433846
