feature,mean_abs_shap
leader_gap_t,0.4355087441354009
time_loss_t,0.11554497193009755
speed_t,0.058157196548762245
target_speed,0.056506565451765814
vehicle_type_ICE,0.03935617055525092
vehicle_type_EV,0.03753322331198699
source_policy_DQN,0.034301107028435474
source_policy_DDQN,0.03422294131988234
dist_tls_t,0.030061035783676415
vehicle_type_HEV,0.025665079579017976
source_policy_DDPG,0.024123417174257807
leader_speed_t,0.021333086075515977
tls_color_t,0.015350645583238415
acceleration_t,0.012740307416558959
waiting_time_t,0.010640554866209522
action,0.006925043680201551
is_stopped_t,0.0038458929991343183
