feature,mean_abs_shap
tls_color_t,0.08471109450724258
dist_tls_t,0.06849773448027542
speed_t,0.06371553350148462
waiting_time_t,0.04741804564448739
time_loss_t,0.03274979293521525
is_stopped_t,0.02846540914060483
acceleration_t,0.02398777484747577
vehicle_type_HEV,0.02138838026350777
vehicle_type_ICE,0.01535899408224346
source_policy_DQN,0.013729160633058641
target_speed,0.013178765444670004
leader_speed_t,0.012993245672603754
action,0.012742882188371624
source_policy_DDQN,0.012413913882104954
vehicle_type_EV,0.010720716529241146
leader_gap_t,0.010128962218260157
source_policy_DDPG,0.008943473729981818
