feature,mean_abs_shap
dist_tls_t,0.7826330443631905
source_policy_DDQN,0.05384847681070005
tls_color_t,0.052521964560125464
source_policy_DQN,0.03835948121894416
waiting_time_t,0.037086378185889404
is_stopped_t,0.03653194482610543
time_loss_t,0.03353472963456368
source_policy_DDPG,0.03190842419782213
speed_t,0.03096671385627015
target_speed,0.02720272825974031
vehicle_type_EV,0.025698623956625116
vehicle_type_ICE,0.020499889817602267
vehicle_type_HEV,0.016848887083093466
leader_speed_t,0.012425760076542489
action,0.008570316322036569
leader_gap_t,0.006747214532084934
acceleration_t,0.005007642750879061
